date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-01,Sacramento Kings @ Milwaukee Bucks,220.5,MAYBE,73,73,268.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (102.2) | Both teams neutral form
2025-11-01,Dallas Mavericks @ Detroit Pistons,208.0,NO,57,57,232.0,True,SKIPPED,Fast pace (101.5) | Detroit Pistons hot (WARM) | Good buffer (15.2 pts above minimum)
2025-11-01,Golden State Warriors @ Indiana Pacers,211.5,NO,49,49,223.0,True,SKIPPED,Fast pace (101.0) | Indiana Pacers hot (WARM) | Moderate buffer (14.9 pts above minimum)
2025-11-01,Minnesota Timberwolves @ Charlotte Hornets,223.0,YES,80,80,227.0,True,WIN,Elite offense (avg ORtg: 118.5) | Fast pace (100.3) | Both teams neutral form
2025-11-01,Golden State Warriors @ Indiana Pacers,211.5,NO,49,49,223.0,True,SKIPPED,Fast pace (101.0) | Indiana Pacers hot (WARM) | Moderate buffer (14.9 pts above minimum)
2025-11-08,New Orleans Pelicans @ San Antonio Spurs,213.0,NO,50,50,245.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Above average pace (98.2) | Good buffer (15.2 pts above minimum)
2025-11-08,Portland Trail Blazers @ Miami Heat,230.5,MAYBE,78,78,267.0,True,SKIPPED,Elite offense (avg ORtg: 116.5) | Fast pace (105.5) | Both teams neutral form
2025-11-08,Chicago Bulls @ Cleveland Cavaliers,225.0,MAYBE,73,73,250.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Fast pace (101.9) | Both teams neutral form
2025-11-08,Los Angeles Lakers @ Atlanta Hawks,218.0,MAYBE,72,72,224.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (100.9) | Atlanta Hawks hot (HOT)
2025-11-08,Toronto Raptors @ Philadelphia 76ers,228.5,MAYBE,79,79,250.0,True,SKIPPED,Elite offense (avg ORtg: 119.2) | Fast pace (101.4) | Toronto Raptors hot (HOT)
2025-11-08,Dallas Mavericks @ Washington Wizards,203.0,NO,47,47,216.0,True,SKIPPED,Fast pace (103.0) | Washington Wizards hot (HOT) | Good buffer (15.0 pts above minimum)
2025-11-08,Dallas Mavericks @ Washington Wizards,203.0,NO,47,47,216.0,True,SKIPPED,Fast pace (103.0) | Washington Wizards hot (HOT) | Good buffer (15.0 pts above minimum)
2025-11-08,Los Angeles Lakers @ Atlanta Hawks,218.0,MAYBE,72,72,224.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (100.9) | Atlanta Hawks hot (HOT)
2025-11-08,Chicago Bulls @ Cleveland Cavaliers,225.0,MAYBE,73,73,250.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Fast pace (101.9) | Both teams neutral form
2025-11-08,Portland Trail Blazers @ Miami Heat,230.5,MAYBE,78,78,267.0,True,SKIPPED,Elite offense (avg ORtg: 116.5) | Fast pace (105.5) | Both teams neutral form
2025-11-08,New Orleans Pelicans @ San Antonio Spurs,213.0,NO,50,50,245.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Above average pace (98.2) | Good buffer (15.2 pts above minimum)
2025-11-08,Indiana Pacers @ Denver Nuggets,219.5,MAYBE,72,72,217.0,False,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (101.0) | Indiana Pacers hot (WARM)
2025-11-08,Indiana Pacers @ Denver Nuggets,219.5,MAYBE,72,72,217.0,False,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (101.0) | Indiana Pacers hot (WARM)
2025-11-08,Toronto Raptors @ Philadelphia 76ers,228.5,MAYBE,79,79,250.0,True,SKIPPED,Elite offense (avg ORtg: 119.2) | Fast pace (101.4) | Toronto Raptors hot (HOT)
2025-11-08,Phoenix Suns @ Los Angeles Clippers,211.0,NO,48,48,217.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Average pace (97.3) | Good buffer (15.1 pts above minimum)
2025-11-08,Phoenix Suns @ Los Angeles Clippers,211.0,NO,48,48,217.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Average pace (97.3) | Good buffer (15.1 pts above minimum)
2025-10-25,Phoenix Suns @ Denver Nuggets,225.5,NO,68,68,244.0,True,SKIPPED,Elite offense (avg ORtg: 119.6) | Above average pace (99.5) | Both teams neutral form
2025-10-25,Charlotte Hornets @ Philadelphia 76ers,228.0,YES,83,83,246.0,True,WIN,Elite offense (avg ORtg: 119.5) | Fast pace (101.2) | Both teams neutral form
2025-10-25,Indiana Pacers @ Memphis Grizzlies,210.5,NO,49,49,231.0,True,SKIPPED,Fast pace (102.2) | Indiana Pacers hot (WARM) | Moderate buffer (14.9 pts above minimum)
2025-10-25,Indiana Pacers @ Memphis Grizzlies,210.5,NO,49,49,231.0,True,SKIPPED,Fast pace (102.2) | Indiana Pacers hot (WARM) | Moderate buffer (14.9 pts above minimum)
2025-10-25,Oklahoma City Thunder @ Atlanta Hawks,223.5,MAYBE,79,79,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.5) | Fast pace (100.2) | Atlanta Hawks hot (HOT)
2025-10-25,Phoenix Suns @ Denver Nuggets,225.5,NO,68,68,244.0,True,SKIPPED,Elite offense (avg ORtg: 119.6) | Above average pace (99.5) | Both teams neutral form
2025-10-25,Chicago Bulls @ Orlando Magic,221.5,NO,65,65,208.0,False,SKIPPED,Strong offense (avg ORtg: 115.9) | Fast pace (102.0) | Both teams neutral form
2025-10-25,Oklahoma City Thunder @ Atlanta Hawks,223.5,MAYBE,79,79,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.5) | Fast pace (100.2) | Atlanta Hawks hot (HOT)
2025-10-25,Charlotte Hornets @ Philadelphia 76ers,228.0,YES,83,83,246.0,True,WIN,Elite offense (avg ORtg: 119.5) | Fast pace (101.2) | Both teams neutral form
2025-10-25,Chicago Bulls @ Orlando Magic,221.5,NO,65,65,208.0,False,SKIPPED,Strong offense (avg ORtg: 115.9) | Fast pace (102.0) | Both teams neutral form
2025-11-02,Atlanta Hawks @ Cleveland Cavaliers,221.0,MAYBE,74,74,226.0,True,SKIPPED,Strong offense (avg ORtg: 115.9) | Fast pace (101.8) | Atlanta Hawks hot (HOT)
