date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-02,New Orleans Pelicans @ Oklahoma City Thunder,216.0,NO,55,55,243.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Above average pace (98.4) | Good buffer (15.1 pts above minimum)
2025-11-02,Atlanta Hawks @ Cleveland Cavaliers,219.5,MAYBE,74,74,226.0,True,SKIPPED,Strong offense (avg ORtg: 114.9) | Fast pace (102.0) | Atlanta Hawks hot (HOT)
2025-11-02,Utah Jazz @ Charlotte Hornets,216.0,MAYBE,72,72,229.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (100.6) | Utah Jazz hot (HOT)
2025-11-02,Philadelphia 76ers @ Brooklyn Nets,219.5,YES,83,83,234.0,True,WIN,Elite offense (avg ORtg: 116.3) | Fast pace (100.1) | Both teams neutral form
2025-11-02,New Orleans Pelicans @ Oklahoma City Thunder,216.0,NO,55,55,243.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Above average pace (98.4) | Good buffer (15.1 pts above minimum)
2025-11-02,San Antonio Spurs @ Phoenix Suns,220.0,MAYBE,73,73,248.0,True,SKIPPED,Elite offense (avg ORtg: 116.9) | Above average pace (99.2) | Both teams neutral form
2025-11-02,Philadelphia 76ers @ Brooklyn Nets,219.5,YES,83,83,234.0,True,WIN,Elite offense (avg ORtg: 116.3) | Fast pace (100.1) | Both teams neutral form
2025-11-02,Chicago Bulls @ New York Knicks,223.0,YES,87,87,244.0,True,WIN,Elite offense (avg ORtg: 118.8) | Fast pace (100.2) | New York Knicks hot (WARM)
2025-11-02,Atlanta Hawks @ Cleveland Cavaliers,219.5,MAYBE,74,74,226.0,True,SKIPPED,Strong offense (avg ORtg: 114.9) | Fast pace (102.0) | Atlanta Hawks hot (HOT)
2025-11-02,Miami Heat @ Los Angeles Lakers,227.5,MAYBE,72,72,250.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Fast pace (102.8) | Moderate buffer (14.9 pts above minimum)
2025-11-02,San Antonio Spurs @ Phoenix Suns,220.0,MAYBE,73,73,248.0,True,SKIPPED,Elite offense (avg ORtg: 116.9) | Above average pace (99.2) | Both teams neutral form
2025-11-02,Utah Jazz @ Charlotte Hornets,216.0,MAYBE,72,72,229.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (100.6) | Utah Jazz hot (HOT)
2025-10-26,Brooklyn Nets @ San Antonio Spurs,214.5,NO,63,63,225.0,True,SKIPPED,Strong offense (avg ORtg: 115.2) | Above average pace (99.0) | Both teams neutral form
2025-10-26,Boston Celtics @ Detroit Pistons,214.5,YES,85,85,232.0,True,WIN,Elite offense (avg ORtg: 116.3) | Above average pace (98.8) | Both teams hot (HOT/WARM)
2025-10-26,Indiana Pacers @ Minnesota Timberwolves,215.5,NO,55,55,224.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.1) | Fast pace (100.7) | Both teams neutral form
